,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
2149,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,2109,1.0435917377471924,FS09B,P,1350182392.7547
2150,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,159572,-0.17775201797485352,FS09B,S,1350182397.7947
2151,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,11453,-0.13336873054504395,FS13B,P,1350182391.9269
2152,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,165638,0.18741679191589355,FS13B,S,1350182398.7509
2153,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,38112,-0.10602736473083496,FS17B,P,1350182392.2056
2154,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,185627,0.24987268447875977,FS17B,S,1350182399.2456
2155,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,49793,0.23432374000549316,FS20B,P,1350182393.258486
2156,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,193462,0.5741961002349854,FS20B,S,1350182400.770486
2157,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,53221,-0.5589151382446289,G10B,P,1350182399.024647
2158,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,196049,-0.7189130783081055,G10B,S,1350182410.584647
2159,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,157193,-0.02978229522705078,JCC,P,1350182396.728393
2160,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,154814,0.43143749237060547,KHBB,P,1350182403.17
2161,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,287444,0.44089317321777344,KHBB,S,1350182417.1
2162,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,152617,0.3223237991333008,KHMB,P,1350182400.0
2163,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,286014,0.2731332778930664,KHMB,S,1350182411.75
2164,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,153982,-1.1049771308898926,KMPB,P,1350182391.52
2165,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,149936,-1.337705373764038,KSXB,P,1350182410.4637
2166,175,2012-10-14 02:39:42.683843+00:00,85.02474722529024,-251.07208258638977,49.609375,18,40.23502078211104,-124.50089721753035,49.609375,175,281692,0.41025376319885254,M14B,S,1350182408.369869
2167,176,2012-10-14 03:07:59.684382+00:00,118.0194252530148,-203.8078569230192,49.609375,17,40.656537679672624,-124.10450443251608,49.609375,176,159573,0.3084831237792969,FS09B,S,1350184100.6947
2168,176,2012-10-14 03:07:59.684382+00:00,118.0194252530148,-203.8078569230192,49.609375,17,40.656537679672624,-124.10450443251608,49.609375,176,11462,-0.252774715423584,FS13B,P,1350184091.3589
