station,phase,C,n_obs
NC.KSXB,S,-0.36615444015427345,4402
NC.KTR,P,-0.6918756456220757,695
NC.KTR,S,0.056297022978542714,189
NC.LAMB,P,0.3979690855141553,54
NC.LAMB,S,0.34398121192887515,15
NC.LBK,P,0.7092394366496368,193
NC.LBK,S,1.0721982743276366,99
NC.LBO,P,0.8287186508590509,53
NC.LBO,S,1.4401121260569285,8
NC.LBP,P,1.7081936419389225,148
NC.LBP,S,1.3022891827467449,31
NC.LCSB,P,1.6842248753097684,55
NC.LCSB,S,1.8262941125365648,110
NC.LGB,P,-0.4973209532948142,79
NC.LGB,S,0.37791118204832114,3
NC.LGP,P,-0.20276500884067403,311
NC.LGP,S,0.768425099687589,143
NC.LHE,P,0.010294887217941754,51
NC.LHE,S,0.4907991570835292,5
NC.LMI,P,-0.03165440967941539,120
NC.LMI,S,0.2830002619066277,23
NC.LMP,P,0.5050814015646201,51
NC.LMP,S,0.8607790951183786,4
NC.LPG,P,0.9887123038765885,130
NC.LPG,S,0.5282462510098492,33
NC.LPK,P,0.5260615282523479,116
NC.LPK,S,0.7261228647236607,22
NC.LRB,P,-0.15447010178809972,141
NC.LRB,S,-0.04447894161899772,22
NC.LSF,P,-0.17946435558221213,93
NC.LSF,S,0.5850377365641655,17
NC.LSH,P,0.3259059175498755,132
NC.LSH,S,-0.42860241078773387,21
NC.LSR,P,0.7003718087071625,78
NC.LSR,S,1.0319127279118334,17
NC.LVR,P,0.9603824604024164,234
NC.LVR,S,0.6392560083174983,80
NV.NC27,P,-0.9820469471373926,825
NV.NC27,S,-0.5688786446033756,1003
NV.NC89,P,-0.2740556452939537,50
NV.NC89,S,0.43207557215268655,51
NV.NCBC,P,1.385930319922578,17
NV.NCBC,S,0.969755520883542,20
OO.HYS11,P,0.27434101617974443,32
OO.HYS11,S,0.7749573597138173,38
OO.HYS12,P,0.6463000224649688,54
OO.HYS12,S,0.023905903799336256,54
OO.HYS13,P,1.3000909335821929,21
OO.HYS13,S,0.506880287822465,28
OO.HYSB1,P,-0.04920431966767533,12
OO.HYSB1,S,0.14481031250910067,19
PB.B001,P,-0.3558731487305292,1967
PB.B001,S,0.718287570780684,2361
PB.B003,P,1.3058018313466295,945
PB.B003,S,0.6667312840051857,934
PB.B004,P,0.6325714475345776,680
PB.B004,S,1.2834958295695207,797
PB.B005,P,0.9990954529101461,1735
PB.B005,S,0.9124408626604741,1769
PB.B006,P,0.40127041773667915,2092
PB.B006,S,1.2351571950569638,2090
PB.B007,P,1.2624009359887005,1642
PB.B007,S,-0.1358714122865336,1790
PB.B009,P,0.6611261380102895,2515
PB.B009,S,-0.25639342001959753,2667
PB.B010,P,0.7960390942908167,2532
PB.B010,S,0.33108014359336646,2812
PB.B011,P,0.768803707237701,2637
PB.B011,S,0.8106711887320396,2748
PB.B012,P,0.04986240867250931,484
